N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered
3000,0.1,0.47000000000000003,4,35,2965,2965,535,2430
3000,0.11,0.47000000000000003,4,79,2921,2921,542,2379
3000,0.12,0.47000000000000003,4,50,2950,2950,582,2368
3000,0.13,0.47000000000000003,4,132,2868,2868,605,2263
3000,0.14,0.47000000000000003,4,107,2893,2893,633,2260
3000,0.15,0.47000000000000003,4,81,2919,2919,696,2223
3000,0.16,0.47000000000000003,4,274,2726,2726,663,2063
3000,0.17,0.47000000000000003,4,246,2754,2754,701,2053
3000,0.18,0.47000000000000003,4,187,2813,2813,736,2077
3000,0.19,0.47000000000000003,4,207,2793,2793,743,2050
3000,0.2,0.47000000000000003,4,165,2835,2835,835,2000
3000,0.21,0.47000000000000003,4,173,2827,2827,816,2011
3000,0.22,0.47000000000000003,4,595,2405,2405,737,1668
3000,0.23,0.47000000000000003,4,573,2427,2427,746,1681
3000,0.24,0.47000000000000003,4,543,2457,2457,707,1750
3000,0.25,0.47000000000000003,4,519,2481,2481,785,1696
3000,0.26,0.47000000000000003,4,2999,1,1,0,1
3000,0.27,0.47000000000000003,4,453,2547,2547,840,1707
3000,0.28,0.47000000000000003,4,388,2612,2612,869,1743
3000,0.29,0.47000000000000003,4,393,2607,2607,856,1751
3000,0.3,0.47000000000000003,4,358,2642,2642,923,1719
3000,0.31,0.47000000000000003,4,342,2658,2658,916,1742
3000,0.32,0.47000000000000003,4,2996,4,4,2,2
3000,0.33,0.47000000000000003,4,2990,10,10,4,6
3000,0.34,0.47000000000000003,4,2998,2,2,1,1
3000,0.35,0.47000000000000003,4,2999,1,1,0,1
3000,0.36,0.47000000000000003,4,2995,5,5,2,3
3000,0.37,0.47000000000000003,4,2998,2,2,1,1
3000,0.38,0.47000000000000003,4,2999,1,1,0,1
3000,0.39,0.47000000000000003,4,2987,13,13,3,10
3000,0.4,0.47000000000000003,4,2998,2,2,0,2
3000,0.41,0.47000000000000003,4,1681,1319,1319,472,847
3000,0.42,0.47000000000000003,4,2999,1,1,0,1
3000,0.43,0.47000000000000003,4,2999,1,1,0,1
3000,0.44,0.47000000000000003,4,2996,4,4,1,3
3000,0.45,0.47000000000000003,4,2996,4,4,1,3
3000,0.46,0.47000000000000003,4,2995,5,5,1,4
3000,0.47,0.47000000000000003,4,2993,7,7,4,3
3000,0.48,0.47000000000000003,4,1326,1674,1674,677,997
3000,0.49,0.47000000000000003,4,2998,2,2,2,0
3000,0.5,0.47000000000000003,4,1290,1710,1710,696,1014
3000,0.51,0.47000000000000003,4,2997,3,3,1,2
3000,0.52,0.47000000000000003,4,2999,1,1,1,0
3000,0.53,0.47000000000000003,4,1119,1881,1881,780,1101
3000,0.54,0.47000000000000003,4,2999,1,1,1,0
3000,0.55,0.47000000000000003,4,936,2064,2064,887,1177
3000,0.56,0.47000000000000003,4,1001,1999,1999,836,1163
3000,0.57,0.47000000000000003,4,2999,1,1,1,0
3000,0.58,0.47000000000000003,4,848,2152,2152,886,1266
3000,0.59,0.47000000000000003,4,2997,3,3,2,1
3000,0.6,0.47000000000000003,4,903,2097,2097,912,1185
3000,0.61,0.47000000000000003,4,2999,1,1,0,1
3000,0.62,0.47000000000000003,4,856,2144,2144,939,1205
3000,0.63,0.47000000000000003,4,892,2108,2108,874,1234
3000,0.64,0.47000000000000003,4,2999,1,1,1,0
3000,0.65,0.47000000000000003,4,2999,1,1,1,0
3000,0.66,0.47000000000000003,4,2999,1,1,0,1
3000,0.67,0.47000000000000003,4,2999,1,1,1,0
3000,0.68,0.47000000000000003,4,2999,1,1,0,1
3000,0.69,0.47000000000000003,4,2999,1,1,0,1
3000,0.7,0.47000000000000003,4,2999,1,1,1,0
3000,0.71,0.47000000000000003,4,2999,1,1,1,0
3000,0.72,0.47000000000000003,4,2999,1,1,1,0
3000,0.73,0.47000000000000003,4,2999,1,1,0,1
3000,0.74,0.47000000000000003,4,2999,1,1,0,1
3000,0.75,0.47000000000000003,4,2999,1,1,1,0
3000,0.76,0.47000000000000003,4,2999,1,1,0,1
3000,0.77,0.47000000000000003,4,2999,1,1,0,1
3000,0.78,0.47000000000000003,4,2999,1,1,1,0
3000,0.79,0.47000000000000003,4,2999,1,1,0,1
3000,0.8,0.47000000000000003,4,2999,1,1,1,0
3000,0.81,0.47000000000000003,4,2999,1,1,1,0
3000,0.82,0.47000000000000003,4,2999,1,1,0,1
3000,0.83,0.47000000000000003,4,2999,1,1,0,1
3000,0.84,0.47000000000000003,4,2999,1,1,0,1
3000,0.85,0.47000000000000003,4,2999,1,1,0,1
3000,0.86,0.47000000000000003,4,2999,1,1,1,0
3000,0.87,0.47000000000000003,4,2999,1,1,1,0
3000,0.88,0.47000000000000003,4,2999,1,1,0,1
3000,0.89,0.47000000000000003,4,2999,1,1,1,0
3000,0.9,0.47000000000000003,4,2999,1,1,1,0
